gender, description,notes,best_match
Abimegender,a gender that is profound deep and infinite; meant to resemble when one mirror is reflecting into another mirror creating an infinite paradox,266.8235294117647,Abimegender
Adamasgender,a gender which refuses to be categorizedAerogendera gender that is influenced by your surroundings,416.9,Adamasgender
Aesthetigender,a gender that is derived from an aesthetic; also known as videgender,71.15,Aesthetigender
Affectugender,a gender that is affected by mood swings,324.7857142857143,Affectugender
Agender,the feeling of no gender/absence of gender or neutral gender,3843.3,Agender
Agenderflux,Being agender and having fluctuating feelings of masculinity of femininity but NOT male or female,455.05,Agenderflux
Alexigender,a gender that is fluid between more than one gender but the individual cannot tell what those genders are,1570.7,Alexi+gender
Aliusgender,a gender which is removed from common gender descriptors and guidelines,517.25,Aliusgender
Amaregender,a gender that changes depending on who you�re in love with,248.8,Amaregender
Ambigender,defined as having the feeling of two genders simultaneously without fluctuation; meant to reflect the concept of being ambidextrous only with gender,512.45,Ambigender
Ambonec,identifying as both man and woman yet neither at the same time,1758.1,Ambonec
Amicagender,a gender that changes depending on which friend you�re with,233.3684210526316,Amicagender
Androgyne,sometimes used in the case of �androgynous presentation describes the feeling of being a mix of both masculine and feminine (and sometimes neutral) gender qualities,6766.9,Androgyne
Anesigender,feeling like a certain gender yet being more comfortable identifying with another,222.71428571428572,Anesigender
Angenital,a desire to be without primary sexual characteristics without necessarily being genderless; one may be both angenital and identify as any other gender alongside,257.5,Angenital
Anogender,a gender that fades in and out but always comes back to the same feeling,431.5,Anogender
Anongender,a gender that is unknown to both yourself and others,9155.75,Anon+gender
Antegender,a protean gender which has the potential to be anything but is formless and motionless and therefore does not manifest as any particular gender,521.875,Antegender
Anxiegender,a gender that is affected by anxiety,307.85714285714283,Anxiegender
Apagender,a feeling of apathy towards ones gender which leads to them not looking any further into it,115.42857142857143,Apa+gender
Apconsugender,a gender where you know what it isn�t but not what it is; the gender is hiding itself from you,684.0,Apconsugender
Astergender,a gender that feels bright and celestial,561.1428571428571,Astergender
Astralgender,a gender that feels connected to space,220.35,Astralgender
Autigender,a gender that can only be understood in the context of being autistic. Meant for autistic people only.,763.8,Autigender
Autogender,a gender experience that is deeply personal to oneself,459.375,Auto+gender
Axigender,when a person experiences two genders that sit on opposite ends of an axis; one being agender and the other being any other gender; these genders are experienced one at a time with no overlapping and with very short transition time.,791.8,Axigender
Bigender,the feeling of having two genders either at the same time or separately; usually used to describe feeling �traditionally male� and �traditionally female� but does not have to,19592.3,Bi+gender
Biogender,a gender that feels connected to nature in some way,194.89473684210526,Biogender
Blurgender,the feeling of having more than one gender that are somehow blurred together to the point of not being able to distinguish or identify individual genders; synonymous with genderfuzz,287.4,Blur+gender
Boyflux,when one feels mostly or all male most of the time but experience fluctuating intensity of male identity,2037.5,Boyflux
Burstgender,and gender that comes in intense bursts of feeling and quickly fades back to the original state,581.2857142857143,Burstgender
Caelgender,a gender which shares qualities with outer space or has the aesthetic of space stars nebulas etc.,207.55,Caelgender
Cassgender,the feeling of gender is unimportant to you,1407.95,Cassgender
Cassflux,when the level of indifference towards your gender fluctuates,542.5,Cassflux
Cavusgender,for people with depression; when you feel one gender when not depressed and another when depressed,355.7692307692308,Cavusgender
Cendgender,when your gender changes between one and its opposite,411.90909090909093,Cendgender
Ceterofluid,when you are ceterogender and your feelings fluctuate between masculine feminine and neutral,955.25,Ceterofluid
Ceterogender,a nonbinary gender with specific masculine feminine or neutral feelings,543.375,Ceterogender
Cisgender,the feeling of being the gender you were assigned at birth all the time (assigned (fe)male/feeling (fe)male),21923.65,Cisgender
Cloudgender,a gender that cannot be fully realized or seen clearly due to depersonalization/derealization disorder,505.55555555555554,Cloudgender
Collgender,the feeling of having too many genders simultaneously to describe each one,572.6666666666666,Collgender
Colorgender,a gender associated with one or more colors and the feelings hues emotions and/or objects associated with that color; may be used like pinkgender bluegender yellowgender,24172.3,Color+gender
Commogender,when you know you aren�t cisgender but you settled with your assigned gender for the time being,468.25,Commogender
Condigender,a gender that is only felt during certain circumstances,300.27777777777777,Condigender
Deliciagender,from the Latin word delicia meaning �favorite� meaning the feeling of having more than one simultaneous gender yet preferring one that fits better,88.66666666666667,Deliciagender
Demifluid,the feeling your gender being fluid throughout all the demigenders; the feeling of having multiple genders some static and some fluid,1620.0,Demifluid
Demiflux,the feeling of having multiple genders some static and some fluctuating,2105.3,Demiflux
Demigender,a gender that is partially one gender and partially another,59285.65,Demigender
Domgender,having more than one gender yet one being more dominant than the others,203.25,Dom+gender
